Student Name,Student Number,Course Name,Module enrolled in,Module completed,Grade,Module to repeat,
John Doe,S001,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,55,,
John Doe,S001,Computer Science,Database Management Systems,,33,Database Management Systems,
Jane Smith,S002,Computer Science,Introduction to Computer Science,,4,Introduction to Computer Science,
Jane Smith,S002,Computer Science,Data Structures and Algorithms,,18,Data Structures and Algorithms,
Jane Smith,S002,Computer Science,Database Management Systems,Database Management Systems,46,,
Michael Johnson,S003,Computer Science,Introduction to Computer Science,Introduction to Computer Science,75,,
Michael Johnson,S003,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,55,,
Michael Johnson,S003,Computer Science,Database Management Systems,,31,Database Management Systems,
Emily Brown,S004,Computer Science,Introduction to Computer Science,Introduction to Computer Science,48,,
Emily Brown,S004,Computer Science,Data Structures and Algorithms,,23,Data Structures and Algorithms,
Emily Brown,S004,Computer Science,Database Management Systems,Database Management Systems,65,,
David Wilson,S005,Computer Science,Introduction to Computer Science,Introduction to Computer Science,45,,
David Wilson,S005,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,78,,
David Wilson,S005,Computer Science,Database Management Systems,,32,Database Management Systems,
Sarah Taylor,S006,Computer Science,Introduction to Computer Science,,5,Introduction to Computer Science,
Sarah Taylor,S006,Computer Science,Data Structures and Algorithms,,15,Data Structures and Algorithms,
Sarah Taylor,S006,Computer Science,Database Management Systems,,14,Database Management Systems,
Christopher Martinez,S007,Computer Science,Introduction to Computer Science,Introduction to Computer Science,86,,
Christopher Martinez,S007,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,52,,
Christopher Martinez,S007,Computer Science,Database Management Systems,,34,Database Management Systems,
Emma Garcia,S008,Computer Science,Introduction to Computer Science,Introduction to Computer Science,69,,
Emma Garcia,S008,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,85,,
Emma Garcia,S008,Computer Science,Database Management Systems,,38,Database Management Systems,
Matthew Rodriguez,S009,Computer Science,Introduction to Computer Science,Introduction to Computer Science,99,,
Matthew Rodriguez,S009,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,48,,
Matthew Rodriguez,S009,Computer Science,Database Management Systems,,5,Database Management Systems,
Ashley Hernandez,S010,Computer Science,Introduction to Computer Science,Introduction to Computer Science,79,,
Ashley Hernandez,S010,Computer Science,Data Structures and Algorithms,Data Structures and Algorithms,75,,
Ashley Hernandez,S010,Computer Science,Database Management Systems,,6,Database Management Systems,
Megan Martinez,S012,Electrical Engineering,Introduction to Electrical Engineering,,23,Introduction to Electrical Engineering,
Megan Martinez,S012,Electrical Engineering,Circuit Analysis,Circuit Analysis,72,,
Megan Martinez,S012,Electrical Engineering,Electromagnetic Fields,Electromagnetic Fields,72,,
Daniel Perez,S013,Electrical Engineering,Introduction to Electrical Engineering,Introduction to Electrical Engineering,63,,
Daniel Perez,S013,Electrical Engineering,Circuit Analysis,,26,Circuit Analysis,
Daniel Perez,S013,Electrical Engineering,Electromagnetic Fields,Electromagnetic Fields,51,,
Amanda Gonzalez,S014,Electrical Engineering,Introduction to Electrical Engineering,Introduction to Electrical Engineering,69,,
Amanda Gonzalez,S014,Electrical Engineering,Circuit Analysis,Circuit Analysis,41,,
Amanda Gonzalez,S014,Electrical Engineering,Electromagnetic Fields,Electromagnetic Fields,55,,
